CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,LVSHRBCD,DSHRBCD,LVHRBCD,DHRBCD,LITTERCD,LVSHRBHT,DSHRBHT,LVHRBHT,DHRBHT,CREATED_DATE,MODIFIED_DATE,MICR_SAMPLE_METHOD
218177670020004,249604176010854,2006,72,9,1,3,2006,10,0,10,0,99.0,7.2,0.0,3.0,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177671020004,249604176010854,2006,72,9,1,4,2006,20,0,10,0,99.0,6.9,0.0,0.7,0.0,2013-10-21 14:55:35,2014-09-22 08:59:48,1
218177964020004,249604177010854,2006,72,9,2,1,2006,0,0,10,0,90.0,0.0,0.0,4.6,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177965020004,249604177010854,2006,72,9,2,2,2006,0,0,10,0,99.0,0.0,0.0,0.7,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177966020004,249604177010854,2006,72,9,2,3,2006,0,0,10,0,99.0,0.0,0.0,0.7,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177967020004,249604177010854,2006,72,9,2,4,2006,0,0,10,0,99.0,0.0,0.0,2.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177975020004,249604181010854,2006,72,13,4,4,2006,0,0,40,0,99.0,0.0,0.0,0.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177972020004,249604181010854,2006,72,13,4,1,2006,0,0,20,0,99.0,0.0,0.0,0.6,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177973020004,249604181010854,2006,72,13,4,2,2006,0,0,10,0,99.0,0.0,0.0,0.5,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177974020004,249604181010854,2006,72,13,4,3,2006,0,0,10,0,99.0,0.0,0.0,0.5,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177672020004,249604183010854,2006,72,13,5,1,2006,0,0,10,0,99.0,0.0,0.0,0.5,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177673020004,249604183010854,2006,72,13,5,2,2006,0,0,10,10,99.0,0.0,0.0,5.9,5.9,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177674020004,249604183010854,2006,72,13,5,3,2006,0,0,30,0,99.0,0.0,0.0,4.9,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177675020004,249604183010854,2006,72,13,5,4,2006,0,0,10,0,90.0,0.0,0.0,2.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177971020004,249604180010854,2006,72,13,12,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177968020004,249604180010854,2006,72,13,12,2,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177969020004,249604180010854,2006,72,13,12,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177970020004,249604180010854,2006,72,13,12,4,2006,0,0,10,1,99.0,0.0,0.0,3.5,0.3,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177976020004,249604184010854,2006,72,19,3,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177977020004,249604184010854,2006,72,19,3,2,2006,40,0,30,0,80.0,7.2,0.0,1.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177978020004,249604184010854,2006,72,19,3,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177979020004,249604184010854,2006,72,19,3,4,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177980020004,249604188010854,2006,72,23,15,1,2006,10,0,30,0,99.0,9.5,0.0,2.1,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177981020004,249604188010854,2006,72,23,15,2,2006,10,0,20,0,99.0,10.8,0.0,2.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177982020004,249604188010854,2006,72,23,15,3,2006,0,0,80,0,90.0,0.0,0.0,2.3,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177983020004,249604188010854,2006,72,23,15,4,2006,10,0,40,0,99.0,10.5,0.0,3.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177680020004,249604189010854,2006,72,23,16,1,2006,10,0,20,0,90.0,11.2,0.0,1.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177681020004,249604189010854,2006,72,23,16,2,2006,0,0,30,0,90.0,0.0,0.0,1.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177682020004,249604189010854,2006,72,23,16,3,2006,0,0,40,20,90.0,0.0,0.0,2.8,2.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177683020004,249604189010854,2006,72,23,16,4,2006,20,0,0,0,80.0,11.2,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177984020004,249604190010854,2006,72,23,17,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177985020004,249604190010854,2006,72,23,17,2,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177986020004,249604190010854,2006,72,23,17,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177987020004,249604190010854,2006,72,23,17,4,2006,20,0,10,0,99.0,16.4,0.0,0.9,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177676020004,249604187010854,2006,72,23,19,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177677020004,249604187010854,2006,72,23,19,2,2006,10,0,10,0,99.0,5.9,0.0,1.7,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177678020004,249604187010854,2006,72,23,19,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177679020004,249604187010854,2006,72,23,19,4,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177684020004,249604191010854,2006,72,25,3,1,2006,20,10,90,30,80.0,13.1,9.8,3.9,3.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177685020004,249604191010854,2006,72,25,3,2,2006,10,10,10,0,90.0,19.7,14.1,0.2,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177686020004,249604191010854,2006,72,25,3,3,2006,20,10,10,0,90.0,19.7,5.9,0.5,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177687020004,249604191010854,2006,72,25,3,4,2006,20,10,10,10,90.0,16.4,11.5,0.7,0.2,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177688020004,249604194010854,2006,72,29,3,1,2006,10,10,20,1,90.0,7.0,0.7,1.0,0.1,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177689020004,249604194010854,2006,72,29,3,2,2006,10,10,80,20,80.0,2.5,0.5,2.3,0.5,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178149020004,249604197010854,2006,72,35,4,2,2006,0,0,10,0,99.0,0.0,0.0,0.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177690020004,249604194010854,2006,72,29,3,3,2006,10,10,90,10,30.0,1.0,0.3,0.9,0.3,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218177691020004,249604194010854,2006,72,29,3,4,2006,10,10,30,20,90.0,0.5,0.3,1.5,0.5,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178148020004,249604197010854,2006,72,35,4,1,2006,0,0,30,0,99.0,0.0,0.0,2.8,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178150020004,249604197010854,2006,72,35,4,3,2006,0,0,30,0,99.0,0.0,0.0,3.6,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178151020004,249604197010854,2006,72,35,4,4,2006,0,0,30,0,99.0,0.0,0.0,2.6,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178092020004,249604199010854,2006,72,37,3,1,2006,0,0,90,0,20.0,0.0,0.0,2.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178093020004,249604199010854,2006,72,37,3,2,2006,0,0,90,0,10.0,0.0,0.0,3.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178094020004,249604199010854,2006,72,37,3,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178095020004,249604199010854,2006,72,37,3,4,2006,0,0,10,0,80.0,0.0,0.0,1.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178096020004,249604200010854,2006,72,37,18,1,2006,20,20,90,40,60.0,10.5,5.4,5.1,1.3,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178124020004,249604201010854,2006,72,39,5,1,2006,0,0,40,0,99.0,0.0,0.0,1.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218178097020004,249604200010854,2006,72,37,18,2,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178098020004,249604200010854,2006,72,37,18,3,2006,20,30,20,40,50.0,14.4,13.1,2.6,1.3,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178099020004,249604200010854,2006,72,37,18,4,2006,20,10,30,20,90.0,10.4,10.4,5.2,3.9,2013-10-21 14:55:36,2014-09-22 08:59:48,1
218178125020004,249604201010854,2006,72,39,5,2,2006,0,0,10,0,99.0,0.0,0.0,0.8,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218178126020004,249604201010854,2006,72,39,5,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218178127020004,249604201010854,2006,72,39,5,4,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177692020004,249604203010854,2006,72,43,5,1,2006,40,10,0,0,90.0,19.7,5.9,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177693020004,249604203010854,2006,72,43,5,2,2006,10,0,20,0,90.0,19.4,0.0,1.1,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177694020004,249604203010854,2006,72,43,5,3,2006,50,0,80,0,90.0,5.7,0.0,1.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177695020004,249604203010854,2006,72,43,5,4,2006,10,0,80,0,90.0,15.6,0.0,1.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177988020004,249604205010854,2006,72,45,1,1,2006,0,0,10,0,99.0,0.0,0.0,0.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177992020004,249604210010854,2006,72,55,8,1,2006,0,0,99,0,10.0,0.0,0.0,0.9,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177989020004,249604205010854,2006,72,45,1,2,2006,10,0,10,0,99.0,5.2,0.0,0.4,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177990020004,249604205010854,2006,72,45,1,3,2006,10,0,0,0,99.0,9.8,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177991020004,249604205010854,2006,72,45,1,4,2006,20,0,0,0,99.0,10.7,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177993020004,249604210010854,2006,72,55,8,2,2006,0,0,99,0,10.0,0.0,0.0,1.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177994020004,249604210010854,2006,72,55,8,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177995020004,249604210010854,2006,72,55,8,4,2006,0,0,99,10,10.0,0.0,0.0,1.5,2.6,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177656020004,249604208010854,2006,72,55,12,1,2006,20,10,10,10,50.0,13.8,7.4,1.3,0.7,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177657020004,249604208010854,2006,72,55,12,2,2006,0,0,10,0,90.0,0.0,0.0,0.7,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177658020004,249604208010854,2006,72,55,12,3,2006,10,0,0,0,90.0,18.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177659020004,249604208010854,2006,72,55,12,4,2006,60,10,0,0,80.0,17.1,6.6,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177660020004,249604209010854,2006,72,55,17,1,2006,0,0,10,0,20.0,0.0,0.0,1.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177661020004,249604209010854,2006,72,55,17,2,2006,0,0,0,0,40.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177697020004,249604211010854,2006,72,57,8,2,2006,0,0,40,0,99.0,0.0,0.0,1.4,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177662020004,249604209010854,2006,72,55,17,3,2006,40,0,0,0,40.0,6.6,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177663020004,249604209010854,2006,72,55,17,4,2006,10,0,0,0,30.0,13.1,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177696020004,249604211010854,2006,72,57,8,1,2006,10,0,10,0,99.0,19.7,0.0,1.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177698020004,249604211010854,2006,72,57,8,3,2006,0,0,80,20,80.0,0.0,0.0,5.9,5.9,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177699020004,249604211010854,2006,72,57,8,4,2006,10,0,40,0,99.0,17.6,0.0,1.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177700020004,249604212010854,2006,72,57,13,1,2006,80,10,10,0,60.0,6.4,4.8,0.7,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177701020004,249604212010854,2006,72,57,13,2,2006,50,0,40,0,60.0,8.9,0.0,4.3,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177702020004,249604212010854,2006,72,57,13,3,2006,80,10,10,0,80.0,13.8,8.4,5.9,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177703020004,249604212010854,2006,72,57,13,4,2006,40,10,40,10,80.0,11.3,6.6,3.0,1.4,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177996020004,249604214010854,2006,72,59,5,1,2006,10,0,0,0,99.0,0.8,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177997020004,249604214010854,2006,72,59,5,2,2006,0,0,10,0,90.0,0.0,0.0,0.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177998020004,249604214010854,2006,72,59,5,3,2006,0,0,10,0,99.0,0.0,0.0,1.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177999020004,249604214010854,2006,72,59,5,4,2006,0,0,40,0,99.0,0.0,0.0,2.6,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177704020004,249604213010854,2006,72,59,12,1,2006,10,0,10,0,99.0,3.6,0.0,3.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177705020004,249604213010854,2006,72,59,12,2,2006,10,0,20,0,99.0,2.0,0.0,0.7,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177706020004,249604213010854,2006,72,59,12,3,2006,0,0,20,0,99.0,0.0,0.0,2.1,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218177707020004,249604213010854,2006,72,59,12,4,2006,10,0,10,0,99.0,2.6,0.0,0.9,0.0,2013-10-21 14:55:37,2014-09-22 08:59:48,1
218178000020004,249604216010854,2006,72,63,2,1,2006,10,0,30,10,99.0,9.8,0.0,2.3,1.3,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178001020004,249604216010854,2006,72,63,2,2,2006,10,0,80,20,90.0,13.1,0.0,2.3,1.6,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178002020004,249604216010854,2006,72,63,2,3,2006,0,0,90,40,90.0,0.0,0.0,4.6,2.3,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178003020004,249604216010854,2006,72,63,2,4,2006,30,10,99,70,90.0,19.7,19.7,4.6,3.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177708020004,249604217010854,2006,72,65,4,1,2006,0,0,99,40,60.0,0.0,0.0,1.6,1.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177709020004,249604217010854,2006,72,65,4,2,2006,0,0,99,20,60.0,0.0,0.0,1.6,1.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177710020004,249604217010854,2006,72,65,4,3,2006,10,0,50,0,50.0,9.5,0.0,1.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177711020004,249604217010854,2006,72,65,4,4,2006,10,0,90,0,50.0,3.0,0.0,1.6,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177712020004,249604218010854,2006,72,65,5,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177713020004,249604218010854,2006,72,65,5,2,2006,0,0,90,60,60.0,0.0,0.0,3.1,2.6,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177714020004,249604218010854,2006,72,65,5,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177715020004,249604218010854,2006,72,65,5,4,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177720020004,249604220010854,2006,72,69,1,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177721020004,249604220010854,2006,72,69,1,2,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177722020004,249604220010854,2006,72,69,1,3,2006,10,0,10,0,90.0,19.7,0.0,1.6,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177723020004,249604220010854,2006,72,69,1,4,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177716020004,249604219010854,2006,72,69,5,1,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177717020004,249604219010854,2006,72,69,5,2,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177718020004,249604219010854,2006,72,69,5,3,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177719020004,249604219010854,2006,72,69,5,4,2006,10,10,60,10,50.0,3.8,6.6,2.0,0.5,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177724020004,249604221010854,2006,72,71,2,1,2006,0,0,10,0,99.0,0.0,0.0,0.4,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177725020004,249604221010854,2006,72,71,2,2,2006,0,0,0,0,99.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177726020004,249604221010854,2006,72,71,2,3,2006,0,0,0,0,99.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177727020004,249604221010854,2006,72,71,2,4,2006,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178100020004,249604223010854,2006,72,71,7,1,2006,0,0,90,0,0.0,0.0,0.0,0.7,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178101020004,249604223010854,2006,72,71,7,2,2006,0,0,90,0,30.0,0.0,0.0,0.9,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178102020004,249604223010854,2006,72,71,7,3,2006,0,0,90,0,0.0,0.0,0.0,0.8,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178103020004,249604223010854,2006,72,71,7,4,2006,0,0,10,0,99.0,0.0,0.0,0.3,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177728020004,249604225010854,2006,72,73,13,1,2006,0,0,30,0,99.0,0.0,0.0,3.1,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177729020004,249604225010854,2006,72,73,13,2,2006,0,0,20,0,99.0,0.0,0.0,2.2,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177730020004,249604225010854,2006,72,73,13,3,2006,0,0,80,0,90.0,0.0,0.0,5.9,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177731020004,249604225010854,2006,72,73,13,4,2006,0,0,20,0,99.0,0.0,0.0,1.8,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178004020004,249605088010854,2006,72,73,15,1,2006,0,0,70,10,10.0,0.0,0.0,2.6,1.0,2013-10-21 14:55:42,2014-09-22 08:59:44,1
218178005020004,249605088010854,2006,72,73,15,2,2006,0,0,20,0,99.0,0.0,0.0,1.4,0.0,2013-10-21 14:55:42,2014-09-22 08:59:44,1
218178006020004,249605088010854,2006,72,73,15,3,2006,10,0,40,0,90.0,2.3,0.0,0.7,0.0,2013-10-21 14:55:42,2014-09-22 08:59:44,1
218178007020004,249605088010854,2006,72,73,15,4,2006,0,0,70,20,60.0,0.0,0.0,5.9,3.0,2013-10-21 14:55:42,2014-09-22 08:59:44,1
218177736020004,249604228010854,2006,72,75,5,1,2006,20,10,30,10,30.0,8.9,5.6,3.0,1.1,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177737020004,249604228010854,2006,72,75,5,2,2006,20,10,30,0,80.0,19.7,6.2,2.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177738020004,249604228010854,2006,72,75,5,3,2006,0,0,50,0,30.0,0.0,0.0,1.9,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177739020004,249604228010854,2006,72,75,5,4,2006,0,0,80,20,30.0,0.0,0.0,4.9,4.8,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177732020004,249604226010854,2006,72,75,9,1,2006,20,10,20,10,90.0,11.8,9.2,2.1,0.7,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177733020004,249604226010854,2006,72,75,9,2,2006,20,10,10,0,99.0,6.1,2.8,0.7,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177734020004,249604226010854,2006,72,75,9,3,2006,10,0,80,20,70.0,9.4,0.0,0.6,2.6,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177735020004,249604226010854,2006,72,75,9,4,2006,10,0,10,0,90.0,7.2,0.0,0.7,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177744020004,249604231010854,2006,72,79,6,1,2006,0,0,70,10,40.0,0.0,0.0,1.5,0.3,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177745020004,249604231010854,2006,72,79,6,2,2006,0,0,80,0,80.0,0.0,0.0,3.1,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177746020004,249604231010854,2006,72,79,6,3,2006,0,0,60,0,30.0,0.0,0.0,2.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177747020004,249604231010854,2006,72,79,6,4,2006,0,0,80,0,40.0,0.0,0.0,2.1,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177740020004,249604230010854,2006,72,79,9,1,2006,0,10,10,10,60.0,0.0,4.6,2.3,2.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177741020004,249604230010854,2006,72,79,9,2,2006,10,20,0,0,90.0,3.0,3.9,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177742020004,249604230010854,2006,72,79,9,3,2006,20,10,0,0,80.0,4.4,3.9,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218177743020004,249604230010854,2006,72,79,9,4,2006,20,0,10,0,90.0,10.5,0.0,0.5,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178008020004,249604234010854,2006,72,81,8,1,2006,0,0,0,0,99.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178009020004,249604234010854,2006,72,81,8,2,2006,0,0,0,0,99.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
218178010020004,249604234010854,2006,72,81,8,3,2006,0,0,0,0,99.0,0.0,0.0,0.0,0.0,2013-10-21 14:55:37,2014-09-22 08:59:50,1
