CN,PLT_CN,VVT_CN,VSB_CN,VPS_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,VEG_FLDSPCD,UNIQUE_SP_NBR,VEG_SPCD,SP_CANOPY_COVER_TOTAL,SP_CANOPY_COVER_LAYER_1_2,SP_CANOPY_COVER_LAYER_3,SP_CANOPY_COVER_LAYER_4,QUAD_1_PRESENCE,QUAD_2_PRESENCE,QUAD_3_PRESENCE,DUMMY_SUBP_COVER_PRE2004,MAX_COVER_LAYER_NBR_PRE2004,CREATED_DATE,MODIFIED_DATE
313424211489998,249604485010854,250126677010854,250126755010854,250126865010854,2008,72,97,3,2,OPRE2,1,OPRE2,0.01,0.01,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424213489998,249604485010854,250126677010854,250126755010854,250126882010854,2008,72,97,3,2,PABL,1,PABL,3.0,3.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424215489998,249604485010854,250126677010854,250126755010854,250126855010854,2008,72,97,3,2,PEHU3,1,PEHU3,20.0,20.0,0.0,0.0,1,0,1,,,2015-03-20 16:01:33,
313424217489998,249604485010854,250126677010854,250126755010854,250126884010854,2008,72,97,3,2,PIMA5,1,PIMA5,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424219489998,249604485010854,250126677010854,250126755010854,250126867010854,2008,72,97,3,2,PIRO6,1,PIRO6,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424221489998,249604485010854,250126677010854,250126755010854,250126871010854,2008,72,97,3,2,PLOB2,1,PLOB2,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424223489998,249604485010854,250126677010854,250126755010854,250126856010854,2008,72,97,3,2,PSMO3,1,PSMO3,1.0,1.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424225489998,249604485010854,250126677010854,250126755010854,250126870010854,2008,72,97,3,2,RAAC,1,RAAC,1.0,0.01,1.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424227489998,249604485010854,250126677010854,250126755010854,250126887010854,2008,72,97,3,2,RAVI,1,RAVI,1.0,0.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424228489998,249604485010854,250126677010854,250126755010854,250126877010854,2008,72,97,3,2,REUN,1,REUN,1.0,0.0,1.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424230489998,249604485010854,250126677010854,250126755010854,250126863010854,2008,72,97,3,2,RHRE3,1,RHRE3,10.0,10.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424232489998,249604485010854,250126677010854,250126755010854,250126858010854,2008,72,97,3,2,SEUT2,1,SEUT2,40.0,40.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424235489998,249604485010854,250126677010854,250126755010854,250126880010854,2008,72,97,3,2,STEM3,1,STEM3,0.01,0.0,0.0,0.01,0,0,0,,,2015-03-20 16:01:33,
313424236489998,249604485010854,250126677010854,250126755010854,250126886010854,2008,72,97,3,2,TAHE,1,TAHE,1.0,0.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424238489998,249604485010854,250126677010854,250126755010854,250126864010854,2008,72,97,3,2,TIRE,1,TIRE,15.0,15.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424240489998,249604485010854,250126677010854,250126755010854,250126862010854,2008,72,97,3,2,TIUT,1,TIUT,7.0,7.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424178489998,249604485010854,250126677010854,250126757010854,250126875010854,2008,72,97,3,4,AMEL,1,AMEL,0.01,0.01,0.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424179489998,249604485010854,250126677010854,250126757010854,250126891010854,2008,72,97,3,4,BOSU2,1,BOSU2,0.01,0.0,0.01,0.0,0,1,0,,,2015-03-20 16:01:33,
313424181489998,249604485010854,250126677010854,250126757010854,250126868010854,2008,72,97,3,4,BUSI,1,BUSI,5.0,0.0,0.0,5.0,0,0,0,,,2015-03-20 16:01:33,
313424183489998,249604485010854,250126677010854,250126757010854,250126888010854,2008,72,97,3,4,CAFL2,1,CAFL2,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424185489998,249604485010854,250126677010854,250126757010854,250126874010854,2008,72,97,3,4,CARE8,1,CARE8,2.0,2.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424187489998,249604485010854,250126677010854,250126757010854,250126857010854,2008,72,97,3,4,CEVI2,1,CEVI2,0.01,0.01,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424190489998,249604485010854,250126677010854,250126757010854,250126873010854,2008,72,97,3,4,COERE,1,COERE,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424192489998,249604485010854,250126677010854,250126757010854,250126866010854,2008,72,97,3,4,COMI,1,COMI,10.0,0.0,10.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424194489998,249604485010854,250126677010854,250126757010854,250126876010854,2008,72,97,3,4,CRBE8,1,CRBE8,3.0,3.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424197489998,249604485010854,250126677010854,250126757010854,250126854010854,2008,72,97,3,4,CRLU2,1,CRLU2,50.0,50.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424199489998,249604485010854,250126677010854,250126757010854,250126897010854,2008,72,97,3,4,EUFO3,1,EUFO3,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424201489998,249604485010854,250126677010854,250126757010854,250126872010854,2008,72,97,3,4,EUPE8,1,EUPE8,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424203489998,249604485010854,250126677010854,250126757010854,250126883010854,2008,72,97,3,4,GADU2,1,GADU2,0.01,0.01,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424204489998,249604485010854,250126677010854,250126757010854,250126896010854,2008,72,97,3,4,GUEL,1,GUEL,1.0,0.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424207489998,249604485010854,250126677010854,250126757010854,250126878010854,2008,72,97,3,4,JAPE,1,JAPE,0.01,0.01,0.0,0.0,1,0,1,,,2015-03-20 16:01:33,
313424208489998,249604485010854,250126677010854,250126757010854,250126890010854,2008,72,97,3,4,LAIN2,1,LAIN2,1.0,0.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424209489998,249604485010854,250126677010854,250126757010854,250126893010854,2008,72,97,3,4,MYFR,1,MYFR,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424212489998,249604485010854,250126677010854,250126757010854,250126865010854,2008,72,97,3,4,OPRE2,1,OPRE2,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424214489998,249604485010854,250126677010854,250126757010854,250126882010854,2008,72,97,3,4,PABL,1,PABL,1.0,1.0,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424216489998,249604485010854,250126677010854,250126757010854,250126855010854,2008,72,97,3,4,PEHU3,1,PEHU3,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424218489998,249604485010854,250126677010854,250126757010854,250126884010854,2008,72,97,3,4,PIMA5,1,PIMA5,0.01,0.01,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424220489998,249604485010854,250126677010854,250126757010854,250126867010854,2008,72,97,3,4,PIRO6,1,PIRO6,1.0,0.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424222489998,249604485010854,250126677010854,250126757010854,250126871010854,2008,72,97,3,4,PLOB2,1,PLOB2,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424224489998,249604485010854,250126677010854,250126757010854,250126856010854,2008,72,97,3,4,PSMO3,1,PSMO3,2.0,2.0,0.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424226489998,249604485010854,250126677010854,250126757010854,250126870010854,2008,72,97,3,4,RAAC,1,RAAC,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424229489998,249604485010854,250126677010854,250126757010854,250126877010854,2008,72,97,3,4,REUN,1,REUN,3.0,0.01,3.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424231489998,249604485010854,250126677010854,250126757010854,250126892010854,2008,72,97,3,4,SCFR,1,SCFR,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424233489998,249604485010854,250126677010854,250126757010854,250126858010854,2008,72,97,3,4,SEUT2,1,SEUT2,0.01,0.01,0.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424234489998,249604485010854,250126677010854,250126757010854,250126894010854,2008,72,97,3,4,SIMU4,1,SIMU4,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424237489998,249604485010854,250126677010854,250126757010854,250126886010854,2008,72,97,3,4,TAHE,1,TAHE,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424239489998,249604485010854,250126677010854,250126757010854,250126864010854,2008,72,97,3,4,TIRE,1,TIRE,15.0,15.0,0.0,0.0,1,0,1,,,2015-03-20 16:01:33,
313424241489998,249604485010854,250126677010854,250126757010854,250126862010854,2008,72,97,3,4,TIUT,1,TIUT,3.0,3.0,0.0,0.0,0,0,1,,,2015-03-20 16:01:33,
313424242489998,249604485010854,250126677010854,250126757010854,250126895010854,2008,72,97,3,4,TOVO,1,TOVO,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424523489998,249604494010854,250126684010854,250126783010854,250127100010854,2008,72,97,20,2,2PLANT,1,2PLANT,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424526489998,249604494010854,250126684010854,250126783010854,250127085010854,2008,72,97,20,2,BUSI,1,BUSI,5.0,0.0,5.0,1.0,0,0,0,,,2015-03-20 16:01:34,
313424530489998,249604494010854,250126684010854,250126783010854,250127074010854,2008,72,97,20,2,CHNI2,1,CHNI2,15.0,15.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424531489998,249604494010854,250126684010854,250126783010854,250127101010854,2008,72,97,20,2,CODO,1,CODO,0.01,0.01,0.01,0.0,0,0,0,,,2015-03-20 16:01:34,
313424532489998,249604494010854,250126684010854,250126783010854,250127078010854,2008,72,97,20,2,COMI,1,COMI,18.0,18.0,0.0,0.0,0,1,1,,,2015-03-20 16:01:34,
313424551489998,249604494010854,250126684010854,250126783010854,250127094010854,2008,72,97,20,2,OPMO2,1,COMO8,0.01,0.01,0.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424534489998,249604494010854,250126684010854,250126783010854,250127077010854,2008,72,97,20,2,CRBE4,1,CRBE4,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424535489998,249604494010854,250126684010854,250126783010854,250127076010854,2008,72,97,20,2,CRDI8,1,CRDI8,3.0,3.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424537489998,249604494010854,250126684010854,250126783010854,250127075010854,2008,72,97,20,2,CRLU2,1,CRLU2,40.0,40.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:34,
313424539489998,249604494010854,250126684010854,250126783010854,250127099010854,2008,72,97,20,2,DOHA2,1,DOHA2,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424541489998,249604494010854,250126684010854,250126783010854,250127096010854,2008,72,97,20,2,EUFO3,1,EUFO3,3.0,3.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:34,
313424543489998,249604494010854,250126684010854,250126783010854,250127081010854,2008,72,97,20,2,EUPE8,1,EUPE8,1.0,1.0,0.0,0.0,0,1,0,,,2015-03-20 16:01:34,
313424545489998,249604494010854,250126684010854,250126783010854,250127087010854,2008,72,97,20,2,EXCA,1,EXCA,1.0,1.0,0.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424546489998,249604494010854,250126684010854,250126783010854,250127084010854,2008,72,97,20,2,GADU2,1,GADU2,0.01,0.01,0.0,0.0,0,1,1,,,2015-03-20 16:01:34,
313424548489998,249604494010854,250126684010854,250126783010854,250127086010854,2008,72,97,20,2,GUEL,1,GUEL,3.0,2.0,2.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424549489998,249604494010854,250126684010854,250126783010854,250127095010854,2008,72,97,20,2,MYFR,1,MYFR,2.0,2.0,1.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424553489998,249604494010854,250126684010854,250126783010854,250127102010854,2008,72,97,20,2,PACA12,1,PACA12,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424555489998,249604494010854,250126684010854,250126783010854,250127093010854,2008,72,97,20,2,PALA12,1,PALA12,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424557489998,249604494010854,250126684010854,250126783010854,250127079010854,2008,72,97,20,2,PHEP,1,PHEP,11.0,11.0,0.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424559489998,249604494010854,250126684010854,250126783010854,250127091010854,2008,72,97,20,2,PIRO6,1,PIRO6,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424561489998,249604494010854,250126684010854,250126783010854,250127080010854,2008,72,97,20,2,PLOB2,1,PLOB2,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424563489998,249604494010854,250126684010854,250126783010854,250127089010854,2008,72,97,20,2,PSMO3,1,PSMO3,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424565489998,249604494010854,250126684010854,250126783010854,250127092010854,2008,72,97,20,2,REUN,1,REUN,3.0,3.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424567489998,249604494010854,250126684010854,250126783010854,250127083010854,2008,72,97,20,2,SEUT2,1,SEUT2,4.0,4.0,0.0,0.0,0,1,0,,,2015-03-20 16:01:34,
313424570489998,249604494010854,250126684010854,250126783010854,250127088010854,2008,72,97,20,2,STEM3,1,STEM3,5.0,0.0,5.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424572489998,249604494010854,250126684010854,250126783010854,250127097010854,2008,72,97,20,2,TAHE,1,TAHE,3.0,1.0,3.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424574489998,249604494010854,250126684010854,250126783010854,250127082010854,2008,72,97,20,2,TIRE,1,TIRE,11.0,11.0,0.01,0.0,0,1,1,,,2015-03-20 16:01:34,
313424576489998,249604494010854,250126684010854,250126783010854,250127090010854,2008,72,97,20,2,TIUT,1,TIUT,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424524489998,249604494010854,250126684010854,250126785010854,250127106010854,2008,72,97,20,4,ANAC4,1,ANAC4,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424525489998,249604494010854,250126684010854,250126785010854,250127098010854,2008,72,97,20,4,BOSU2,1,BOSU2,2.0,1.0,2.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424527489998,249604494010854,250126684010854,250126785010854,250127085010854,2008,72,97,20,4,BUSI,1,BUSI,4.0,0.0,4.0,0.01,0,0,1,,,2015-03-20 16:01:34,
313424528489998,249604494010854,250126684010854,250126785010854,250127107010854,2008,72,97,20,4,CAPA8,1,CAPA8,10.0,1.0,10.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424529489998,249604494010854,250126684010854,250126785010854,250127105010854,2008,72,97,20,4,CEVI2,1,CEVI2,0.01,0.01,0.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424533489998,249604494010854,250126684010854,250126785010854,250127078010854,2008,72,97,20,4,COMI,1,COMI,4.0,3.0,1.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424536489998,249604494010854,250126684010854,250126785010854,250127076010854,2008,72,97,20,4,CRDI8,1,CRDI8,7.0,7.0,0.0,0.0,0,1,0,,,2015-03-20 16:01:34,
313424538489998,249604494010854,250126684010854,250126785010854,250127075010854,2008,72,97,20,4,CRLU2,1,CRLU2,20.0,20.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:34,
313424540489998,249604494010854,250126684010854,250126785010854,250127099010854,2008,72,97,20,4,DOHA2,1,DOHA2,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424542489998,249604494010854,250126684010854,250126785010854,250127096010854,2008,72,97,20,4,EUFO3,1,EUFO3,1.0,1.0,1.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424544489998,249604494010854,250126684010854,250126785010854,250127081010854,2008,72,97,20,4,EUPE8,1,EUPE8,1.0,0.01,1.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424547489998,249604494010854,250126684010854,250126785010854,250127084010854,2008,72,97,20,4,GADU2,1,GADU2,0.01,0.01,0.0,0.0,1,1,0,,,2015-03-20 16:01:34,
313424550489998,249604494010854,250126684010854,250126785010854,250127095010854,2008,72,97,20,4,MYFR,1,MYFR,9.0,3.0,7.0,3.0,0,0,0,,,2015-03-20 16:01:34,
313424552489998,249604494010854,250126684010854,250126785010854,250127103010854,2008,72,97,20,4,OPRE2,1,OPRE2,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424554489998,249604494010854,250126684010854,250126785010854,250127102010854,2008,72,97,20,4,PACA12,1,PACA12,5.0,5.0,0.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424556489998,249604494010854,250126684010854,250126785010854,250127093010854,2008,72,97,20,4,PALA12,1,PALA12,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424558489998,249604494010854,250126684010854,250126785010854,250127079010854,2008,72,97,20,4,PHEP,1,PHEP,10.0,10.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:34,
313424560489998,249604494010854,250126684010854,250126785010854,250127091010854,2008,72,97,20,4,PIRO6,1,PIRO6,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424562489998,249604494010854,250126684010854,250126785010854,250127080010854,2008,72,97,20,4,PLOB2,1,PLOB2,1.0,1.0,0.0,0.0,0,0,1,,,2015-03-20 16:01:34,
313424564489998,249604494010854,250126684010854,250126785010854,250127089010854,2008,72,97,20,4,PSMO3,1,PSMO3,1.0,1.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424566489998,249604494010854,250126684010854,250126785010854,250127092010854,2008,72,97,20,4,REUN,1,REUN,8.0,8.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424568489998,249604494010854,250126684010854,250126785010854,250127083010854,2008,72,97,20,4,SEUT2,1,SEUT2,1.0,1.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:34,
313424569489998,249604494010854,250126684010854,250126785010854,250127104010854,2008,72,97,20,4,SIMU4,1,SIMU4,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424571489998,249604494010854,250126684010854,250126785010854,250127088010854,2008,72,97,20,4,STEM3,1,STEM3,0.01,0.0,0.01,0.0,0,0,0,,,2015-03-20 16:01:34,
313424573489998,249604494010854,250126684010854,250126785010854,250127097010854,2008,72,97,20,4,TAHE,1,TAHE,5.0,0.0,5.0,0.0,0,0,0,,,2015-03-20 16:01:34,
313424575489998,249604494010854,250126684010854,250126785010854,250127082010854,2008,72,97,20,4,TIRE,1,TIRE,10.0,10.0,0.0,0.0,1,0,0,,,2015-03-20 16:01:34,
313424577489998,249604494010854,250126684010854,250126785010854,250127090010854,2008,72,97,20,4,TIUT,1,TIUT,1.0,0.01,1.0,0.0,1,1,0,,,2015-03-20 16:01:34,
313424298489998,249604488010854,250126679010854,250126763010854,250126919010854,2008,72,97,27,2,2GRAM,1,2GRAM,2.0,2.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424301489998,249604488010854,250126679010854,250126763010854,250126924010854,2008,72,97,27,2,ANAC4,1,ANAC4,5.0,5.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424303489998,249604488010854,250126679010854,250126763010854,250126920010854,2008,72,97,27,2,CHNI2,1,CHNI2,3.0,3.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424306489998,249604488010854,250126679010854,250126763010854,250126963010854,2008,72,97,27,2,COMI,1,COMI,15.0,10.0,15.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424308489998,249604488010854,250126679010854,250126763010854,250126930010854,2008,72,97,27,2,CRDI8,1,CRDI8,2.0,2.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424310489998,249604488010854,250126679010854,250126763010854,250126962010854,2008,72,97,27,2,CRLU2,1,CRLU2,25.0,25.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424312489998,249604488010854,250126679010854,250126763010854,250126931010854,2008,72,97,27,2,CRRH,1,CRRH,0.01,0.01,0.0,0.0,1,0,0,,,2015-03-20 16:01:33,
313424314489998,249604488010854,250126679010854,250126763010854,250126933010854,2008,72,97,27,2,EUFO3,1,EUFO3,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424317489998,249604488010854,250126679010854,250126763010854,250126932010854,2008,72,97,27,2,EXCA,1,EXCA,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424318489998,249604488010854,250126679010854,250126763010854,250126921010854,2008,72,97,27,2,IPBA2,1,IPBA2,0.01,0.01,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424319489998,249604488010854,250126679010854,250126763010854,250126925010854,2008,72,97,27,2,METO3,1,METO3,10.0,2.0,10.0,2.0,0,0,0,,,2015-03-20 16:01:33,
313424321489998,249604488010854,250126679010854,250126763010854,250126929010854,2008,72,97,27,2,MYFR,1,MYFR,3.0,3.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424325489998,249604488010854,250126679010854,250126763010854,250126917010854,2008,72,97,27,2,PHEP,1,PHEP,10.0,10.0,0.0,0.0,1,1,0,,,2015-03-20 16:01:33,
313424327489998,249604488010854,250126679010854,250126763010854,250126934010854,2008,72,97,27,2,PIAL3,1,PIAL3,2.0,0.01,2.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424328489998,249604488010854,250126679010854,250126763010854,250126922010854,2008,72,97,27,2,PLOB2,1,PLOB2,2.0,2.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424330489998,249604488010854,250126679010854,250126763010854,250126926010854,2008,72,97,27,2,PSMO3,1,PSMO3,1.0,1.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424332489998,249604488010854,250126679010854,250126763010854,250126927010854,2008,72,97,27,2,REUN,1,REUN,4.0,4.0,2.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424334489998,249604488010854,250126679010854,250126763010854,250126918010854,2008,72,97,27,2,SEUT2,1,SEUT2,3.0,3.0,0.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424336489998,249604488010854,250126679010854,250126763010854,250126923010854,2008,72,97,27,2,TAHE,1,TAHE,4.0,2.0,4.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424338489998,249604488010854,250126679010854,250126763010854,250126916010854,2008,72,97,27,2,TIRE,1,TIRE,5.0,5.0,1.0,0.0,1,1,1,,,2015-03-20 16:01:33,
313424340489998,249604488010854,250126679010854,250126763010854,250126928010854,2008,72,97,27,2,TIUT,1,TIUT,0.01,0.01,0.01,0.0,0,0,0,,,2015-03-20 16:01:33,
313424299489998,249604488010854,250126679010854,250126765010854,250126919010854,2008,72,97,27,4,2GRAM,1,2GRAM,0.01,0.01,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
313424300489998,249604488010854,250126679010854,250126765010854,250126939010854,2008,72,97,27,4,2VH,1,2VH,0.01,0.01,0.0,0.0,0,1,0,,,2015-03-20 16:01:33,
313424302489998,249604488010854,250126679010854,250126765010854,250126937010854,2008,72,97,27,4,BUSI,1,BUSI,20.0,1.0,20.0,5.0,0,0,0,,,2015-03-20 16:01:33,
313424304489998,249604488010854,250126679010854,250126765010854,250126920010854,2008,72,97,27,4,CHNI2,1,CHNI2,2.0,2.0,0.0,0.0,0,0,0,,,2015-03-20 16:01:33,
