CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,CREATED_DATE,MODIFIED_DATE,MICRCOND_PROP,SUBPCOND_PROP,MACRCOND_PROP,NONFR_INCL_PCT_SUBP,NONFR_INCL_PCT_MACRO,CYCLE,SUBCYCLE
6236305020004,249603603010854,2001,72,1,37,18,1,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236306020004,249603603010854,2001,72,1,37,18,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,0.0,0.243773,,,,3,1
6236307020004,249603603010854,2001,72,1,37,18,2,2,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,0.756227,,,,3,1
6236308020004,249603603010854,2001,72,1,37,18,3,1,2011-09-29 10:50:43,2024-12-18 08:59:02,0.76986,0.812748,,,,3,1
6236309020004,249603603010854,2001,72,1,37,18,3,2,2011-09-29 10:50:43,2024-12-18 08:59:02,0.23014,0.187252,,,,3,1
6236310020004,249603603010854,2001,72,1,37,18,4,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236311020004,249603604010854,2001,72,1,39,15,1,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236312020004,249603604010854,2001,72,1,39,15,2,1,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236313020004,249603604010854,2001,72,1,39,15,3,2,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236314020004,249603604010854,2001,72,1,39,15,4,2,2011-09-29 10:50:43,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236315020004,249603605010854,2001,72,1,43,5,1,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236316020004,249603605010854,2001,72,1,43,5,2,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,0.804499,,,,3,1
6236317020004,249603605010854,2001,72,1,43,5,2,2,2011-09-29 10:50:44,2024-12-18 08:59:02,0.0,0.195501,,,,3,1
6236318020004,249603605010854,2001,72,1,43,5,3,3,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236319020004,249603605010854,2001,72,1,43,5,4,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236320020004,249603606010854,2001,72,1,45,1,1,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236321020004,249603606010854,2001,72,1,45,1,2,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236322020004,249603606010854,2001,72,1,45,1,3,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236323020004,249603606010854,2001,72,1,45,1,4,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236328020004,249603608010854,2001,72,1,55,8,1,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236329020004,249603608010854,2001,72,1,55,8,2,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236330020004,249603608010854,2001,72,1,55,8,3,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236331020004,249603608010854,2001,72,1,55,8,4,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236336020004,249603610010854,2001,72,1,59,5,1,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236337020004,249603610010854,2001,72,1,59,5,2,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236338020004,249603610010854,2001,72,1,59,5,3,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236339020004,249603610010854,2001,72,1,59,5,4,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236332020004,249603609010854,2001,72,1,59,12,1,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236333020004,249603609010854,2001,72,1,59,12,2,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236334020004,249603609010854,2001,72,1,59,12,3,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236335020004,249603609010854,2001,72,1,59,12,4,1,2011-09-29 10:50:44,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236340020004,249603611010854,2001,72,1,61,9,1,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236341020004,249603611010854,2001,72,1,61,9,2,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236342020004,249603611010854,2001,72,1,61,9,3,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236343020004,249603611010854,2001,72,1,61,9,4,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236344020004,249603612010854,2001,72,1,65,5,1,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236345020004,249603612010854,2001,72,1,65,5,2,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236346020004,249603612010854,2001,72,1,65,5,3,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236347020004,249603612010854,2001,72,1,65,5,4,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236348020004,249603613010854,2001,72,1,69,1,1,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236349020004,249603613010854,2001,72,1,69,1,2,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236350020004,249603613010854,2001,72,1,69,1,3,2,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236351020004,249603613010854,2001,72,1,69,1,4,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236352020004,249603614010854,2001,72,1,71,7,1,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,0.633806,,,,3,1
6236353020004,249603614010854,2001,72,1,71,7,1,2,2011-09-29 10:50:45,2024-12-18 08:59:02,0.0,0.366194,,,,3,1
6236354020004,249603614010854,2001,72,1,71,7,2,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236355020004,249603614010854,2001,72,1,71,7,3,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,0.411687,,,,3,1
6236356020004,249603614010854,2001,72,1,71,7,3,2,2011-09-29 10:50:45,2024-12-18 08:59:02,0.0,0.588313,,,,3,1
6236357020004,249603614010854,2001,72,1,71,7,4,2,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236358020004,249603615010854,2001,72,1,73,15,1,1,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236359020004,249603615010854,2001,72,1,73,15,2,2,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236360020004,249603615010854,2001,72,1,73,15,3,1,2011-09-29 10:50:45,2024-12-18 08:59:02,0.0,0.239191,,,,3,1
6236361020004,249603615010854,2001,72,1,73,15,3,2,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,0.760809,,,,3,1
6236362020004,249603615010854,2001,72,1,73,15,4,3,2011-09-29 10:50:45,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236363020004,249603616010854,2001,72,1,77,2,1,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236364020004,249603616010854,2001,72,1,77,2,2,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236365020004,249603616010854,2001,72,1,77,2,3,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236366020004,249603616010854,2001,72,1,77,2,4,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236367020004,249603617010854,2001,72,1,79,2,1,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236368020004,249603617010854,2001,72,1,79,2,2,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236369020004,249603617010854,2001,72,1,79,2,3,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236370020004,249603617010854,2001,72,1,79,2,4,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236371020004,249603618010854,2001,72,1,81,8,1,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236372020004,249603618010854,2001,72,1,81,8,2,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236373020004,249603618010854,2001,72,1,81,8,3,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236374020004,249603618010854,2001,72,1,81,8,4,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236375020004,249603619010854,2001,72,1,83,2,1,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236376020004,249603619010854,2001,72,1,83,2,2,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236377020004,249603619010854,2001,72,1,83,2,3,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236378020004,249603619010854,2001,72,1,83,2,4,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236383020004,249603621010854,2001,72,1,87,3,1,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236379020004,249603620010854,2001,72,1,87,6,1,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236384020004,249603621010854,2001,72,1,87,3,2,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236385020004,249603621010854,2001,72,1,87,3,3,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236386020004,249603621010854,2001,72,1,87,3,4,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236380020004,249603620010854,2001,72,1,87,6,2,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236381020004,249603620010854,2001,72,1,87,6,3,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236382020004,249603620010854,2001,72,1,87,6,4,1,2011-09-29 10:50:46,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236387020004,249603622010854,2001,72,1,89,3,1,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236388020004,249603622010854,2001,72,1,89,3,2,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236389020004,249603622010854,2001,72,1,89,3,3,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236390020004,249603622010854,2001,72,1,89,3,4,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236391020004,249603623010854,2001,72,1,91,6,1,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236392020004,249603623010854,2001,72,1,91,6,2,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236396020004,249603624010854,2001,72,1,95,4,2,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236393020004,249603623010854,2001,72,1,91,6,3,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236394020004,249603623010854,2001,72,1,91,6,4,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236395020004,249603624010854,2001,72,1,95,4,1,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236397020004,249603624010854,2001,72,1,95,4,3,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236398020004,249603624010854,2001,72,1,95,4,4,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236399020004,249603625010854,2001,72,1,97,168,1,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236400020004,249603625010854,2001,72,1,97,168,2,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236401020004,249603625010854,2001,72,1,97,168,3,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236402020004,249603625010854,2001,72,1,97,168,4,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236403020004,249603626010854,2001,72,1,101,2,1,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236404020004,249603626010854,2001,72,1,101,2,2,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236405020004,249603626010854,2001,72,1,101,2,3,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236406020004,249603626010854,2001,72,1,101,2,4,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236407020004,249603627010854,2001,72,1,103,14,1,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236411020004,249603627010854,2001,72,1,103,14,4,2,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236408020004,249603627010854,2001,72,1,103,14,2,1,2011-09-29 10:50:47,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236409020004,249603627010854,2001,72,1,103,14,3,1,2011-09-29 10:50:47,2024-12-18 08:59:02,0.21685,0.31149,,,,3,1
6236410020004,249603627010854,2001,72,1,103,14,3,2,2011-09-29 10:50:47,2024-12-18 08:59:02,0.78315,0.68851,,,,3,1
6236412020004,249603628010854,2001,72,1,107,10,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236413020004,249603628010854,2001,72,1,107,10,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236414020004,249603628010854,2001,72,1,107,10,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236415020004,249603628010854,2001,72,1,107,10,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236416020004,249603629010854,2001,72,1,109,11,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236417020004,249603629010854,2001,72,1,109,11,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236418020004,249603629010854,2001,72,1,109,11,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236419020004,249603629010854,2001,72,1,109,11,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236420020004,249603630010854,2001,72,1,111,6,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236421020004,249603630010854,2001,72,1,111,6,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236422020004,249603630010854,2001,72,1,111,6,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236431020004,249603632010854,2001,72,1,113,17,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236423020004,249603630010854,2001,72,1,111,6,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236429020004,249603632010854,2001,72,1,113,17,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236430020004,249603632010854,2001,72,1,113,17,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236432020004,249603632010854,2001,72,1,113,17,4,2,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236424020004,249603631010854,2001,72,1,113,24,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236425020004,249603631010854,2001,72,1,113,24,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236426020004,249603631010854,2001,72,1,113,24,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,0.0,0.02361,,,,3,1
6236427020004,249603631010854,2001,72,1,113,24,3,2,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,0.97639,,,,3,1
6236428020004,249603631010854,2001,72,1,113,24,4,2,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236437020004,249603634010854,2001,72,1,123,6,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236438020004,249603634010854,2001,72,1,123,6,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236439020004,249603634010854,2001,72,1,123,6,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236440020004,249603634010854,2001,72,1,123,6,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236433020004,249603633010854,2001,72,1,123,9,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236434020004,249603633010854,2001,72,1,123,9,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236435020004,249603633010854,2001,72,1,123,9,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236436020004,249603633010854,2001,72,1,123,9,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236441020004,249603635010854,2001,72,1,125,5,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236442020004,249603635010854,2001,72,1,125,5,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236443020004,249603635010854,2001,72,1,125,5,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236444020004,249603635010854,2001,72,1,125,5,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236445020004,249603636010854,2001,72,1,127,6,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236446020004,249603636010854,2001,72,1,127,6,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236447020004,249603636010854,2001,72,1,127,6,3,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236448020004,249603636010854,2001,72,1,127,6,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236449020004,249603637010854,2001,72,1,129,5,1,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236450020004,249603637010854,2001,72,1,129,5,2,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236451020004,249603637010854,2001,72,1,129,5,3,2,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236452020004,249603637010854,2001,72,1,129,5,4,1,2011-09-29 10:50:48,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236457020004,249603639010854,2001,72,1,131,2,1,1,2011-09-29 10:50:49,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236458020004,249603639010854,2001,72,1,131,2,2,1,2011-09-29 10:50:49,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236459020004,249603639010854,2001,72,1,131,2,3,1,2011-09-29 10:50:49,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236460020004,249603639010854,2001,72,1,131,2,4,1,2011-09-29 10:50:49,2024-12-18 08:59:02,1.0,1.0,,,,3,1
6236453020004,249603638010854,2001,72,1,131,3,1,1,2011-09-29 10:50:49,2024-12-18 08:59:02,1.0,1.0,,,,3,1
