CN,SRV_CN,CTY_CN,PREV_PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,PLOT_STATUS_CD,PLOT_NONSAMPLE_REASN_CD,MEASYEAR,MEASMON,MEASDAY,REMPER,KINDCD,DESIGNCD,RDDISTCD,WATERCD,LAT,LON,ELEV,GROW_TYP_CD,MORT_TYP_CD,P2PANEL,P3PANEL,MANUAL,KINDCD_NC,QA_STATUS,CREATED_DATE,MODIFIED_DATE,MICROPLOT_LOC,DECLINATION,SAMP_METHOD_CD,SUBP_EXAMINE_CD,MACRO_BREAKPOINT_DIA,INTENSITY,CYCLE,SUBCYCLE,TOPO_POSITION_PNW,NF_SAMPLING_STATUS_CD,NF_PLOT_STATUS_CD,NF_PLOT_NONSAMPLE_REASN_CD,P2VEG_SAMPLING_STATUS_CD,P2VEG_SAMPLING_LEVEL_DETAIL_CD,INVASIVE_SAMPLING_STATUS_CD,INVASIVE_SPECIMEN_RULE_CD,DESIGNCD_P2A,MANUAL_DB,SUBPANEL,FUTFORCD_RMRS,MANUAL_NCRS,MANUAL_NERS,MANUAL_RMRS,PAC_ISLAND_PNWRS,PLOT_SEASON_NERS,PREV_MICROPLOT_LOC_RMRS,PREV_PLOT_STATUS_CD_RMRS,REUSECD1,REUSECD2,REUSECD3,GRND_LYR_SAMPLING_STATUS_CD,GRND_LYR_SAMPLING_METHOD_CD
308962610732862,490986411126144,13163730010478,,1990,72,1,7,708,1,,1990,3,,9.8,0,219,,,18.26331,-66.153395,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:23,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962611732862,490986411126144,13163730010478,,1990,72,1,7,709,1,,1990,4,,10.2,0,219,,,18.242264,-66.172446,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:23,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962614732862,490986411126144,13163730010478,,1990,72,1,7,729,1,,1990,4,,10.2,0,219,,,18.216502,-66.128844,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:23,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962619732862,490986411126144,13163730010478,,1990,72,1,7,763,1,,1990,4,,,0,219,,,18.289163,-66.083934,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:23,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962600732862,490986411126144,13163731010478,,1990,72,1,9,635,1,,1990,4,,,0,219,,,18.147333,-66.273318,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962603732862,490986411126144,13163731010478,,1990,72,1,9,654,1,,1990,4,,,0,219,,,18.159037,-66.257628,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962482732862,490986411126144,13163732010478,,1990,72,1,11,48,2,,1990,1,,9.8,0,219,,,18.318846,-67.117341,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962485732862,490986411126144,13163732010478,,1990,72,1,11,69,1,,1990,1,,9.8,0,219,,,18.320066,-67.107841,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962486732862,490986411126144,13163732010478,,1990,72,1,11,71,1,,1990,1,,9.8,0,219,,,18.271299,-67.106746,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962490732862,490986411126144,13163732010478,,1990,72,1,11,91,1,,1990,2,,9.9,0,219,,,18.284059,-67.074488,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962491732862,490986411126144,13163732010478,,1990,72,1,11,92,1,,1990,1,,9.8,0,219,,,18.27198,-67.06764,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:25,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962532732862,490986411126144,13163733010478,,1990,72,1,13,305,1,,1990,3,,10.0,0,219,,,18.399844,-66.75155,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962537732862,490986411126144,13163733010478,,1990,72,1,13,322,1,,1990,3,,10.0,0,219,,,18.431141,-66.723717,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962538732862,490986411126144,13163733010478,,1990,72,1,13,324,2,,1990,2,,9.9,0,219,,,18.379796,-66.723024,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962551732862,490986411126144,13163733010478,,1990,72,1,13,360,1,,1990,3,,10.0,0,219,,,18.389155,-66.673621,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962552732862,490986411126144,13163733010478,,1990,72,1,13,361,1,,1990,3,,10.0,0,219,,,18.375303,-66.681494,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962553732862,490986411126144,13163733010478,,1990,72,1,13,362,2,,1990,2,,10.0,0,219,,,18.352264,-66.669002,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962561732862,490986411126144,13163733010478,,1990,72,1,13,379,1,,1990,3,,10.0,0,219,,,18.397046,-66.638165,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962562732862,490986411126144,13163733010478,,1990,72,1,13,380,2,,1990,3,,10.0,0,219,,,18.382466,-66.650024,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962568732862,490986411126144,13163733010478,,1990,72,1,13,398,1,,1990,3,,10.0,0,219,,,18.393655,-66.625111,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:27,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962599732862,490986411126144,13163736010478,,1990,72,1,19,632,1,,1990,4,,,0,219,,,18.236281,-66.286576,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:29,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962605732862,490986411126144,13163737010478,,1990,72,1,21,688,1,,1990,4,,,0,219,,,18.297579,-66.183859,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:30,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962606732862,490986411126144,13163737010478,,1990,72,1,21,689,2,,1990,3,,9.8,0,219,,,18.270962,-66.19516,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:30,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962609732862,490986411126144,13163737010478,,1990,72,1,21,707,1,,1990,4,,,0,219,,,18.294364,-66.169323,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:30,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962620732862,490986411126144,13163739010478,,1990,72,1,25,765,1,,1990,4,,,0,219,,,18.245231,-66.074246,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:33,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962622732862,490986411126144,13163739010478,,1990,72,1,25,786,1,,1990,4,,,0,219,,,18.156809,-66.058696,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:33,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962519732862,490986411126144,13163740010478,,1990,72,1,27,246,1,,1990,3,,9.9,0,219,,,18.428944,-66.853315,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:33,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962523732862,490986411126144,13163740010478,,1990,72,1,27,268,2,,1990,3,,9.9,0,219,,,18.365887,-66.823274,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:33,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962634732862,490986411126144,13163741010478,,1990,72,1,29,870,2,,1990,4,,10.3,0,219,,,18.301683,-65.907371,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:34,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962636732862,490986411126144,13163741010478,,1990,72,1,29,884,1,,1990,4,,,0,219,,,18.379039,-65.882769,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:34,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962604732862,490986411126144,13163744010478,,1990,72,1,35,676,1,,1990,3,,10.1,0,219,,,18.095956,-66.210018,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:36,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962607732862,490986411126144,13163744010478,,1990,72,1,35,695,1,,1990,3,,10.1,0,219,,,18.111726,-66.189814,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:36,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962608732862,490986411126144,13163744010478,,1990,72,1,35,696,1,,1990,3,,10.1,0,219,,,18.08282,-66.194344,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:36,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962612732862,490986411126144,13163744010478,,1990,72,1,35,715,1,,1990,3,,10.1,0,219,,,18.070986,-66.154023,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:36,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962621732862,490986411126144,13163744010478,,1990,72,1,35,769,1,,1990,4,,9.9,0,219,,,18.124256,-66.067534,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:36,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962646732862,490986411126144,13163745010478,,1990,72,1,37,967,2,,1990,4,,10.3,0,219,,,18.268915,-65.673404,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:37,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962576732862,490986411126144,13163746010478,,1990,72,1,39,440,1,,1990,3,,10.1,0,219,,,18.312491,-66.553559,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962577732862,490986411126144,13163746010478,,1990,72,1,39,441,1,,1990,3,,10.0,0,219,,,18.29995,-66.565864,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962581732862,490986411126144,13163746010478,,1990,72,1,39,461,1,,1990,3,,10.0,0,219,,,18.257829,-66.522965,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962582732862,490986411126144,13163746010478,,1990,72,1,39,476,1,,1990,3,,,0,219,,,18.344687,-66.492495,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962583732862,490986411126144,13163746010478,,1990,72,1,39,478,1,,1990,3,,10.1,0,219,,,18.261596,-66.51034,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962586732862,490986411126144,13163746010478,,1990,72,1,39,494,1,,1990,3,,10.1,0,219,,,18.336736,-66.479756,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962587732862,490986411126144,13163746010478,,1990,72,1,39,495,1,,1990,3,,,0,219,,,18.321081,-66.464432,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:39,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962594732862,490986411126144,13163748010478,,1990,72,1,43,539,1,,1990,3,,10.0,0,219,,,18.126961,-66.410546,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:41,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962644732862,490986411126144,13163754010478,,1990,72,1,53,965,1,,1990,4,,10.3,0,219,,,18.32204,-65.687177,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:56,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962645732862,490986411126144,13163754010478,,1990,72,1,53,966,1,,1990,4,,10.3,0,219,,,18.30057,-65.673295,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:56,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962575732862,490986411126144,13163753010478,,1990,72,1,54,438,1,,1990,3,,10.1,0,219,,,18.37462,-66.549192,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:29:56,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962580732862,490986411126144,13163753010478,,1990,72,1,54,457,1,,1990,3,,,0,219,,,18.370789,-66.541208,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:29:56,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962617732862,490986411126144,13163756010478,,1990,72,1,57,752,1,,1990,3,,10.2,0,219,,,18.075792,-66.095053,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:00,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962618732862,490986411126144,13163756010478,,1990,72,1,57,753,1,,1990,3,,,0,219,,,18.052341,-66.112769,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:00,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962536732862,490986411126144,13163757010478,,1990,72,1,59,315,1,,1990,3,,10.0,0,219,,,18.116162,-66.7667,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:01,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962613732862,490986411126144,13163758010478,,1990,72,1,61,724,1,,1990,4,,,0,219,,,18.352651,-66.137645,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:02,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962615732862,490986411126144,13163758010478,,1990,72,1,61,742,2,,1990,4,,9.9,0,219,,,18.336813,-66.107532,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:02,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962616732862,490986411126144,13163758010478,,1990,72,1,61,743,1,,1990,4,,,0,219,,,18.322403,-66.094671,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:02,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962624732862,490986411126144,13163759010478,,1990,72,1,63,799,1,,1990,4,,,0,219,,,18.301551,-66.012109,,,,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:02,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962626732862,490986411126144,13163759010478,,1990,72,1,63,819,1,,1990,4,,10.3,0,219,,,18.23367,-66.000574,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:02,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962526732862,490986411126144,13163760010478,,1990,72,1,65,287,1,,1990,3,,9.9,0,219,,,18.390997,-66.785657,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:03,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962639732862,490986411126144,13163762010478,,1990,72,1,69,908,1,,1990,4,,10.3,0,219,,,18.165833,-65.848542,,2,2,,,0.0,,1,2022-09-27 07:04:24,2023-08-15 09:30:04,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962499732862,490986411126144,13163763010478,,1990,72,1,71,127,1,,1990,2,,,0,219,,,18.40744,-67.018434,,,,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:05,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962500732862,490986411126144,13163763010478,,1990,72,1,71,146,1,,1990,2,,9.8,0,219,,,18.389804,-66.990778,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:05,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962503732862,490986411126144,13163763010478,,1990,72,1,71,163,1,,1990,2,,,0,219,,,18.490505,-66.962669,,,,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:05,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962505732862,490986411126144,13163763010478,,1990,72,1,71,166,1,,1990,2,,,0,219,,,18.409411,-66.954923,,,,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:05,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962566732862,490986411126144,13163764010478,,1990,72,1,73,387,2,,1990,2,,10.0,0,219,,,18.176336,-66.64068,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:06,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962573732862,490986411126144,13163764010478,,1990,72,1,73,423,1,,1990,3,,10.0,0,219,,,18.268488,-66.59521,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:06,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962578732862,490986411126144,13163764010478,,1990,72,1,73,442,1,,1990,3,,10.0,0,219,,,18.268778,-66.566889,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:06,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962579732862,490986411126144,13163764010478,,1990,72,1,73,443,1,,1990,2,,10.0,0,219,,,18.238741,-66.568053,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:06,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962510732862,490986411126144,13163768010478,,1990,72,1,81,210,1,,1990,2,,,0,219,,,18.308651,-66.897395,,,,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962511732862,490986411126144,13163768010478,,1990,72,1,81,211,1,,1990,2,,9.8,0,219,,,18.283839,-66.906712,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962512732862,490986411126144,13163768010478,,1990,72,1,81,212,1,,1990,2,,9.8,0,219,,,18.274156,-66.896312,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962513732862,490986411126144,13163768010478,,1990,72,1,81,213,1,,1990,3,,9.9,0,219,,,18.246015,-66.90303,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962515732862,490986411126144,13163768010478,,1990,72,1,81,232,1,,1990,3,,9.9,0,219,,,18.27183,-66.869038,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962516732862,490986411126144,13163768010478,,1990,72,1,81,234,2,,1990,2,,9.9,0,219,,,18.2075,-66.88059,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962520732862,490986411126144,13163768010478,,1990,72,1,81,253,2,,1990,3,,10.0,0,219,,,18.228865,-66.848741,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962521732862,490986411126144,13163768010478,,1990,72,1,81,254,1,,1990,2,,9.9,0,219,,,18.217949,-66.837915,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
308962522732862,490986411126144,13163768010478,,1990,72,1,81,255,1,,1990,2,,9.9,0,219,,,18.188889,-66.851961,,2,2,,,0.0,,1,2022-09-27 07:04:23,2023-08-15 09:30:11,OFFSET,,1,4,,,2,0,,,,,,,,,,9.0,,,,,,,,,,,,,,
