CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_DATE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
218173987020004,249604172010854,2006,72,1,6,4,270,1,2006,1,0.0,24.11970149069,10,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173964020004,249604171010854,2006,72,1,8,1,30,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173965020004,249604171010854,2006,72,1,8,1,150,1,2006,1,0.0,30.0,75,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173966020004,249604171010854,2006,72,1,8,1,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173967020004,249604171010854,2006,72,1,8,2,30,1,2006,1,0.0,26.318054639354,45,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173968020004,249604171010854,2006,72,1,8,2,150,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173969020004,249604171010854,2006,72,1,8,2,270,1,2006,1,0.0,28.624465060504,65,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173970020004,249604171010854,2006,72,1,8,3,30,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173971020004,249604171010854,2006,72,1,8,3,150,1,2006,1,0.0,29.295733477761,70,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173972020004,249604171010854,2006,72,1,8,3,270,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173973020004,249604171010854,2006,72,1,8,4,30,1,2006,1,0.0,24.11970149069,10,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173974020004,249604171010854,2006,72,1,8,4,150,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173975020004,249604171010854,2006,72,1,8,4,270,1,2006,1,0.0,25.056735621385,30,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173952020004,249604170010854,2006,72,1,13,1,30,1,2006,1,0.0,26.318054639354,45,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173953020004,249604170010854,2006,72,1,13,1,150,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173954020004,249604170010854,2006,72,1,13,1,270,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173955020004,249604170010854,2006,72,1,13,2,30,1,2006,1,0.0,31.498571396176,85,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173956020004,249604170010854,2006,72,1,13,2,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173957020004,249604170010854,2006,72,1,13,2,270,1,2006,1,0.0,32.288697712977,90,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173958020004,249604170010854,2006,72,1,13,3,30,1,2006,1,0.0,24.738633753706,25,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173959020004,249604170010854,2006,72,1,13,3,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173960020004,249604170010854,2006,72,1,13,3,270,1,2006,1,0.0,33.103474137921,95,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173961020004,249604170010854,2006,72,1,13,4,30,1,2006,1,0.0,25.427544120501,35,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173962020004,249604170010854,2006,72,1,13,4,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173963020004,249604170010854,2006,72,1,13,4,270,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178344020004,249604173010854,2006,72,3,1,1,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178345020004,249604173010854,2006,72,3,1,1,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178346020004,249604173010854,2006,72,3,1,1,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178347020004,249604173010854,2006,72,3,1,2,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178348020004,249604173010854,2006,72,3,1,2,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178349020004,249604173010854,2006,72,3,1,2,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178350020004,249604173010854,2006,72,3,1,3,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178351020004,249604173010854,2006,72,3,1,3,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178352020004,249604173010854,2006,72,3,1,3,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178353020004,249604173010854,2006,72,3,1,4,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178354020004,249604173010854,2006,72,3,1,4,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178355020004,249604173010854,2006,72,3,1,4,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178368020004,249604175010854,2006,72,5,2,1,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178369020004,249604175010854,2006,72,5,2,1,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178370020004,249604175010854,2006,72,5,2,1,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178371020004,249604175010854,2006,72,5,2,2,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178372020004,249604175010854,2006,72,5,2,2,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178373020004,249604175010854,2006,72,5,2,2,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178374020004,249604175010854,2006,72,5,2,3,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178375020004,249604175010854,2006,72,5,2,3,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178376020004,249604175010854,2006,72,5,2,3,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178377020004,249604175010854,2006,72,5,2,4,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178378020004,249604175010854,2006,72,5,2,4,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178379020004,249604175010854,2006,72,5,2,4,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178356020004,249604174010854,2006,72,5,7,1,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178357020004,249604174010854,2006,72,5,7,1,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178358020004,249604174010854,2006,72,5,7,1,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178359020004,249604174010854,2006,72,5,7,2,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178360020004,249604174010854,2006,72,5,7,2,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178361020004,249604174010854,2006,72,5,7,2,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178362020004,249604174010854,2006,72,5,7,3,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178363020004,249604174010854,2006,72,5,7,3,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178364020004,249604174010854,2006,72,5,7,3,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178365020004,249604174010854,2006,72,5,7,4,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178366020004,249604174010854,2006,72,5,7,4,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218178367020004,249604174010854,2006,72,5,7,4,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173988020004,249604176010854,2006,72,9,1,1,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173989020004,249604176010854,2006,72,9,1,1,150,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173990020004,249604176010854,2006,72,9,1,1,270,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173991020004,249604176010854,2006,72,9,1,2,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173992020004,249604176010854,2006,72,9,1,2,150,1,2006,1,0.0,25.056735621385,30,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173993020004,249604176010854,2006,72,9,1,2,270,1,2006,1,0.0,24.738633753706,25,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173994020004,249604176010854,2006,72,9,1,3,30,1,2006,1,0.0,25.056735621385,30,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173995020004,249604176010854,2006,72,9,1,3,150,1,2006,1,0.0,24.11970149069,10,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173996020004,249604176010854,2006,72,9,1,3,270,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173997020004,249604176010854,2006,72,9,1,4,30,1,2006,1,0.0,27.390509305232,55,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173998020004,249604176010854,2006,72,9,1,4,150,1,2006,1,0.0,24.11970149069,10,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218173999020004,249604176010854,2006,72,9,1,4,270,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218174000020004,249604177010854,2006,72,9,2,1,30,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:35,2023-08-10 13:09:53,,,
218174001020004,249604177010854,2006,72,9,2,1,150,1,2006,1,0.0,29.295733477761,70,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174002020004,249604177010854,2006,72,9,2,1,270,1,2006,1,0.0,24.268498099388,15,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174003020004,249604177010854,2006,72,9,2,2,30,1,2006,1,0.0,25.056735621385,30,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174004020004,249604177010854,2006,72,9,2,2,150,1,2006,1,0.0,24.029981273401,5,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174005020004,249604177010854,2006,72,9,2,2,270,1,2006,1,0.0,24.738633753706,25,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174006020004,249604177010854,2006,72,9,2,3,30,1,2006,1,0.0,28.624465060504,65,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174007020004,249604177010854,2006,72,9,2,3,150,1,2006,1,0.0,26.832815729997,50,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174008020004,249604177010854,2006,72,9,2,3,270,1,2006,1,0.0,24.268498099388,15,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174009020004,249604177010854,2006,72,9,2,4,30,1,2006,1,0.0,24.268498099388,15,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174010020004,249604177010854,2006,72,9,2,4,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174011020004,249604177010854,2006,72,9,2,4,270,1,2006,1,0.0,29.295733477761,70,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178380020004,249604178010854,2006,72,11,3,1,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178381020004,249604178010854,2006,72,11,3,1,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178382020004,249604178010854,2006,72,11,3,1,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178383020004,249604178010854,2006,72,11,3,2,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178384020004,249604178010854,2006,72,11,3,2,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178385020004,249604178010854,2006,72,11,3,2,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178386020004,249604178010854,2006,72,11,3,3,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178387020004,249604178010854,2006,72,11,3,3,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178391020004,249604178010854,2006,72,11,3,4,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178388020004,249604178010854,2006,72,11,3,3,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178389020004,249604178010854,2006,72,11,3,4,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178390020004,249604178010854,2006,72,11,3,4,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174024020004,249604181010854,2006,72,13,4,1,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174025020004,249604181010854,2006,72,13,4,1,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174026020004,249604181010854,2006,72,13,4,1,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174027020004,249604181010854,2006,72,13,4,2,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174028020004,249604181010854,2006,72,13,4,2,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174029020004,249604181010854,2006,72,13,4,2,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174030020004,249604181010854,2006,72,13,4,3,30,1,2006,1,0.0,25.427544120501,35,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174031020004,249604181010854,2006,72,13,4,3,150,1,2006,1,0.0,30.0,75,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174035020004,249604181010854,2006,72,13,4,4,270,1,2006,1,0.0,25.427544120501,35,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174032020004,249604181010854,2006,72,13,4,3,270,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174033020004,249604181010854,2006,72,13,4,4,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174034020004,249604181010854,2006,72,13,4,4,150,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174036020004,249604183010854,2006,72,13,5,1,30,1,2006,1,0.0,26.318054639354,45,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174037020004,249604183010854,2006,72,13,5,1,150,1,2006,1,0.0,24.029981273401,5,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174038020004,249604183010854,2006,72,13,5,1,270,1,2006,1,0.0,29.295733477761,70,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174039020004,249604183010854,2006,72,13,5,2,30,1,2006,1,0.0,24.268498099388,15,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174040020004,249604183010854,2006,72,13,5,2,150,1,2006,1,0.0,24.738633753706,25,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174041020004,249604183010854,2006,72,13,5,2,270,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174042020004,249604183010854,2006,72,13,5,3,30,1,2006,1,0.0,32.288697712977,90,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174043020004,249604183010854,2006,72,13,5,3,150,1,2006,1,0.0,31.498571396176,85,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174044020004,249604183010854,2006,72,13,5,3,270,1,2006,1,0.0,26.318054639354,45,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174045020004,249604183010854,2006,72,13,5,4,30,1,2006,1,0.0,25.848791074246,40,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174046020004,249604183010854,2006,72,13,5,4,150,1,2006,1,0.0,24.475293665245,20,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174047020004,249604183010854,2006,72,13,5,4,270,1,2006,1,0.0,0.5,110,0.336336396998,0.0,0.336336396998,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178404020004,249604182010854,2006,72,13,10,1,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178405020004,249604182010854,2006,72,13,10,1,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178406020004,249604182010854,2006,72,13,10,1,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178407020004,249604182010854,2006,72,13,10,2,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178408020004,249604182010854,2006,72,13,10,2,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178409020004,249604182010854,2006,72,13,10,2,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178410020004,249604182010854,2006,72,13,10,3,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178411020004,249604182010854,2006,72,13,10,3,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178412020004,249604182010854,2006,72,13,10,3,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178413020004,249604182010854,2006,72,13,10,4,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178414020004,249604182010854,2006,72,13,10,4,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178415020004,249604182010854,2006,72,13,10,4,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174012020004,249604180010854,2006,72,13,12,1,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174013020004,249604180010854,2006,72,13,12,1,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174014020004,249604180010854,2006,72,13,12,1,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174015020004,249604180010854,2006,72,13,12,2,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174016020004,249604180010854,2006,72,13,12,2,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174017020004,249604180010854,2006,72,13,12,2,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174018020004,249604180010854,2006,72,13,12,3,30,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174019020004,249604180010854,2006,72,13,12,3,150,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174020020004,249604180010854,2006,72,13,12,3,270,1,2006,1,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174021020004,249604180010854,2006,72,13,12,4,30,1,2006,2,0.0,25.056735621385,30,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174022020004,249604180010854,2006,72,13,12,4,150,1,2006,2,0.0,24.11970149069,10,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218174023020004,249604180010854,2006,72,13,12,4,270,1,2006,2,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178392020004,249604179010854,2006,72,13,15,1,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178393020004,249604179010854,2006,72,13,15,1,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178394020004,249604179010854,2006,72,13,15,1,270,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178395020004,249604179010854,2006,72,13,15,2,30,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
218178396020004,249604179010854,2006,72,13,15,2,150,1,2006,,0.0,24.0,0,24.0,0.0,24.0,2013-10-21 14:55:36,2023-08-10 13:09:53,,,
