CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,MEASDAY,MEASMON,MEASYEAR,QASTATCD,CRWTYPCD,SMPKNDCD,CREATED_DATE,MODIFIED_DATE,CWD_SAMPLE_METHOD,FWD_SAMPLE_METHOD,MICR_SAMPLE_METHOD,DLF_SAMPLE_METHOD,PILE_SAMPLE_METHOD,DWM_SAMPLING_STATUS_CD,DWM_NBR_SUBP,DWM_NBR_SUBP_TRANSECT,DWM_SUBPLIST,DWM_TRANSECT_LENGTH,QA_STATUS
218173917020004,249604205010854,2006,72,45,1,3,10,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178322020004,249604204010854,2006,72,45,3,11,10,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178189020004,249604206010854,2006,72,47,2,24,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178250020004,249604207010854,2006,72,51,2,23,2,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173949020004,249604210010854,2006,72,55,8,18,7,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173932020004,249604208010854,2006,72,55,12,6,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173933020004,249604209010854,2006,72,55,17,5,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173894020004,249604211010854,2006,72,57,8,19,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173920020004,249604212010854,2006,72,57,13,12,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173868020004,249604214010854,2006,72,59,5,28,11,2006,7,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,7
218173852020004,249604213010854,2006,72,59,12,29,11,2006,7,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,7
218178222020004,249604215010854,2006,72,61,9,22,2,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173906020004,249604216010854,2006,72,63,2,23,5,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173827020004,249604217010854,2006,72,65,4,29,6,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173872020004,249604218010854,2006,72,65,5,21,9,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173921020004,249604220010854,2006,72,69,1,21,6,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173844020004,249604219010854,2006,72,69,5,1,6,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173895020004,249604221010854,2006,72,71,2,29,8,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178326020004,249604222010854,2006,72,71,4,6,6,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173847020004,249604223010854,2006,72,71,7,6,9,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178256020004,249604224010854,2006,72,73,3,6,6,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173828020004,249604225010854,2006,72,73,13,24,8,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173891020004,249605088010854,2006,72,73,15,16,10,2006,1,,2,2013-10-21 14:55:42,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173934020004,249604228010854,2006,72,75,5,23,3,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218173922020004,249604226010854,2006,72,75,9,4,4,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178193020004,249604227010854,2006,72,75,11,13,3,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178325020004,249604229010854,2006,72,77,2,6,3,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:22,1,2,1,2,2,,,,,,1
218178249020004,249604232010854,2006,72,79,2,7,7,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173907020004,249604231010854,2006,72,79,6,23,8,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173873020004,249604230010854,2006,72,79,9,3,8,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178234020004,249604233010854,2006,72,81,5,10,8,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173843020004,249604234010854,2006,72,81,8,15,11,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173874020004,249604235010854,2006,72,83,2,14,9,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173950020004,249604236010854,2006,72,87,3,14,2,2006,1,,2,2013-10-21 14:55:37,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173887020004,249604237010854,2006,72,89,3,8,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173951020004,249604238010854,2006,72,89,5,30,10,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173892020004,249604240010854,2006,72,91,1,28,6,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178203020004,249604239010854,2006,72,91,5,25,5,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178259020004,249604241010854,2006,72,91,6,28,2,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173839020004,249604242010854,2006,72,93,4,16,8,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173869020004,249605089010854,2006,72,93,6,22,8,2006,1,,2,2013-10-21 14:55:42,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178207020004,249604243010854,2006,72,95,4,22,6,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173888020004,249604246010854,2006,72,97,39,20,9,2006,1,,3,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173947020004,249604244010854,2006,72,97,168,19,9,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173916020004,249604245010854,2006,72,97,196,16,5,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178327020004,249604247010854,2006,72,99,2,8,5,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173840020004,249604249010854,2006,72,101,2,22,11,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178198020004,249604248010854,2006,72,101,3,12,10,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173849020004,249605091010854,2006,72,103,13,24,10,2006,1,,2,2013-10-21 14:55:42,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173885020004,249604250010854,2006,72,103,14,27,6,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173875020004,249604252010854,2006,72,107,7,17,10,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173927020004,249604251010854,2006,72,107,8,18,10,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173876020004,249604253010854,2006,72,109,2,20,6,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173908020004,249604254010854,2006,72,109,4,20,11,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173948020004,249605092010854,2006,72,109,6,31,10,2006,1,,2,2013-10-21 14:55:42,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173877020004,249604255010854,2006,72,109,9,1,11,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178315020004,249604257010854,2006,72,111,6,27,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173945020004,249604256010854,2006,72,111,7,29,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178231020004,249604259010854,2006,72,113,1,20,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173931020004,249604258010854,2006,72,113,8,28,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173935020004,249604261010854,2006,72,113,17,22,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173853020004,249604260010854,2006,72,113,24,22,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173896020004,249604262010854,2006,72,117,3,18,5,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173842020004,249604265010854,2006,72,119,5,26,10,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173841020004,249604264010854,2006,72,119,25,12,10,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178334020004,249604263010854,2006,72,119,26,9,3,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173867020004,249604266010854,2006,72,121,2,2,5,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173909020004,249604267010854,2006,72,123,5,11,4,2006,1,,2,2013-10-21 14:55:38,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173899020004,249604269010854,2006,72,123,6,25,4,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178214020004,249604268010854,2006,72,123,9,18,4,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173859020004,249604271010854,2006,72,125,3,25,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173884020004,249604273010854,2006,72,125,5,27,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173862020004,249604270010854,2006,72,125,9,26,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178283020004,249604272010854,2006,72,125,12,20,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178271020004,249604274010854,2006,72,127,5,23,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178303020004,249604275010854,2006,72,127,6,23,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173926020004,249604277010854,2006,72,129,5,26,6,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173943020004,249604276010854,2006,72,129,6,24,5,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173946020004,249604280010854,2006,72,131,2,31,8,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178180020004,249604278010854,2006,72,131,3,5,9,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178305020004,249604279010854,2006,72,131,4,5,9,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173860020004,249604281010854,2006,72,131,5,7,9,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173928020004,249604282010854,2006,72,133,2,18,4,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178260020004,249604283010854,2006,72,133,6,10,4,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173929020004,249604284010854,2006,72,135,1,16,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178314020004,249604285010854,2006,72,137,1,23,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173901020004,249604286010854,2006,72,139,1,15,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173861020004,249604289010854,2006,72,141,2,6,11,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178170020004,249604287010854,2006,72,141,3,2,11,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178219020004,249604288010854,2006,72,141,11,8,11,2006,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173836020004,249604290010854,2006,72,141,14,7,10,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173913020004,249604291010854,2006,72,143,1,27,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173898020004,249604292010854,2006,72,145,8,28,2,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178285020004,249604294010854,2006,72,149,1,27,3,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173930020004,249604293010854,2006,72,149,4,21,3,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178255020004,249604295010854,2006,72,151,8,8,6,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173889020004,249604296010854,2006,72,153,1,13,6,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173914020004,249604299010854,2006,72,153,2,4,5,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173886020004,249604300010854,2006,72,153,3,12,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178343020004,249604301010854,2006,72,153,10,14,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173863020004,249604297010854,2006,72,153,11,19,7,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173837020004,249604298010854,2006,72,153,12,3,5,2006,1,,2,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173838020004,249604485010854,2008,72,97,3,15,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178165020004,249604491010854,2008,72,97,18,20,7,2009,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173855020004,249604494010854,2008,72,97,20,22,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173878020004,249604488010854,2008,72,97,27,19,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178204020004,249604500010854,2008,72,97,35,20,7,2009,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173939020004,249604510010854,2008,72,97,41,15,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173829020004,249604495010854,2008,72,97,52,22,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173830020004,249604512010854,2008,72,97,54,18,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173854020004,249604490010854,2008,72,97,61,15,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173924020004,249604504010854,2008,72,97,62,21,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173881020004,249604511010854,2008,72,97,66,19,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173936020004,249604505010854,2008,72,97,75,19,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173940020004,249604498010854,2008,72,97,89,17,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173938020004,249604508010854,2008,72,97,90,18,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173937020004,249604507010854,2008,72,97,92,21,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173910020004,249604493010854,2008,72,97,93,17,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173944020004,249604484010854,2008,72,97,100,14,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173880020004,249604501010854,2008,72,97,128,22,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173831020004,249604513010854,2008,72,97,129,19,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173845020004,249604509010854,2008,72,97,134,18,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218178317020004,249604506010854,2008,72,97,143,19,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173923020004,249604492010854,2008,72,97,157,18,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173857020004,249604503010854,2008,72,97,165,16,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173879020004,249604496010854,2008,72,97,167,21,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173915020004,249604487010854,2008,72,97,179,16,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173856020004,249604502010854,2008,72,97,185,16,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218173911020004,249604497010854,2008,72,97,189,17,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218178320020004,249604486010854,2008,72,97,194,20,7,2009,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173912020004,249604499010854,2008,72,97,195,16,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173900020004,249604489010854,2008,72,97,198,15,4,2008,1,,1,2013-10-21 14:55:39,2025-01-10 15:14:09,1,2,1,2,2,,,,,,1
218173866020004,249604514010854,2008,72,97,202,23,4,2008,1,,1,2013-10-21 14:55:40,2025-01-10 15:14:10,1,2,1,2,2,,,,,,1
218178298020004,249604711010854,2009,72,49,3,20,7,2009,1,,2,2013-10-21 14:55:41,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178319020004,249604659010854,2009,72,49,8,20,7,2009,1,,2,2013-10-21 14:55:41,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178289020004,249604660010854,2009,72,49,11,20,7,2009,1,,2,2013-10-21 14:55:41,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218173882020004,249605173010854,2009,72,49,13,7,7,2009,1,,2,2013-10-21 14:55:42,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178216020004,249604572010854,2009,72,49,15,20,7,2009,1,,2,2013-10-21 14:55:40,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178318020004,249604595010854,2009,72,49,16,20,7,2009,1,,2,2013-10-21 14:55:40,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178191020004,249604583010854,2009,72,49,17,20,7,2009,1,,2,2013-10-21 14:55:40,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218173846020004,249605168010854,2009,72,49,20,9,7,2009,1,,2,2013-10-21 14:55:42,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178299020004,249604612010854,2009,72,49,23,20,7,2009,1,,2,2013-10-21 14:55:41,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
218178292020004,249604731010854,2009,72,49,24,20,7,2009,1,,2,2013-10-21 14:55:41,2025-01-10 15:14:13,1,2,1,2,2,,,,,,1
